id,labels
204149,3 8
52779,1 2 3 5 6 7
278973,1 2 3 4 5 6 7
195284,1 2 3 4 5 6 7
19992,1 2 3 4 5 6 7
80748,1 2 3 4 5 6 7
444996,1 2 3 5 6 7
200285,1 2 5 6 8
90572,1 2 5 6 8
27565,3 6 8
228371,3 6 8
166925,3 5 8
310868,1 5 6 7
13318,2 4 5 6
290904,3 6 8
71940,1 2 5 6
211449,1 2 5 6
368909,1 2 5 6
118126,1 2 5 6
188137,3 8
12355,3 8
232115,3 8
208176,3 8
362562,0 1 8
244500,0 1 8
18589,1 2 3 4 5 6 7 8
186937,1 8
14826,2 5 6 8
156728,5 6 8
444034,0 3 8
351101,0 3 8
349197,0 3 8
127881,0 3 8
330074,0 3 8
38258,0 3 8
116776,0 3 8
42401,1 2 4 5 6 7
360925,1 2 4 5 6 7
417746,0 1 2 5 6 8
65612,0 1 2 5 6 8
251348,3
403020,0 8
381280,1 2 3 5 6 8
260040,0 3 8
10726,3 8
8077,2 4 5 6 7 8
175993,1 2 4 5 6 7
44164,1 2 3 4 5 6 7
207150,1 2 3 4 5 6 7
416761,1 2 3 4 5 6 7
270126,1 2 4 5 6 7
399124,1 2 3 5 6
234301,0 3 5 8
208462,0 3 5 8
211506,1 2 4 5 6
44611,1 2 4 5 6 7
462532,1 2 4 5 6 7
470668,1 2 4 5 6 7
83251,0 1 3 8
437691,0 3 5 8
348875,0 3 5 8
428134,1 2 5 6 8
189527,1 2 5 6 8
397317,1 2 5 6 8
26848,2 4 5 6 7 8
350313,1 2 4 5 6 7
362243,1 2 4 5 6 7
382795,2 3 5 6
375721,1 2 4 5 6 7
342444,1 2 4 5 6 7
275458,1 2 4 5 6 7
446027,1 2 3 4 5 6 7
450442,1 2 3 4 5 6 7
443952,1 2 3 4 5 6 7
111683,1 2 3 4 5 6 7
142503,1 2 3 4 5 6 7
226636,1 2 5 6 8
171632,1 2 4 5 6 7
197558,1 2 4 5 6 7
247714,1 2 4 5 6 7
382415,1 2 4 5 6 7
242317,1 2 4 5 6 7
385839,1 2 4 5 6 7
128541,1 2 4 5 6 7
3924,0 3 5 8
316316,0 3 5 8
292256,0 3 5 8
190048,5 6 8
130608,1 2 3 4 5 6 7
459554,2 3 6 8
